cnms,frequency,total_salecs
Automotive/Diesel,2,76.0
Biomedical Advanced Research and Development Autho,9,75.79
Military Maritime,3,75.762
Offline consumer product sales,3,75.755
"EnLink Midstream Operating, L.P",2,75.707
International Customers,4,75.623
Limited Brands Inc.,13,75.566
"YP Holdings, LLC.",2,75.47999999999999
Industrial -Gas,4,75.31
FEDERAL EXPRESS CORP,2,75.098
US Foods Inc.,4,75.096
Menarini Group,1,75.0
ChangXin Memory Technologies,3,74.735
Channel Partner Relationships,2,74.518
Cosco Inc,18,74.479
Home Care Revenue,5,74.30499999999999
Telecommunication wires and cables,3,74.219
Corporacion Mexicana de Aviacion SA CMA,6,74.096
Municipal-Eletric,4,74.089
Mainstream horizontal marketplaces,1,74.081
"Full Stream Goff Connector, LLC",2,74.056
Test & measurement,1,73.986
F. Hoffmann-La Roche Ltd and Hoffmann-La Roche Inc,1,73.927
Asia Pacific (excluding India),1,73.9
"Coriant, Inc.",4,73.684
GE Vernova,2,73.662
Ford Glory International Limited,2,73.54599999999999
Alk-Abello A/S,1,73.5
CCT Telecom Holdings Ltd,9,73.377
TEKTRONIX INC,2,73.324
"Dalian Jiyang Import and Export Co., Ltd.",2,73.315
Amazon Corporate LLC,1,73.31
"Trafigura Mexico, S.A. de C.V.",1,73.24
Retail (non-anchor),1,73.232
CHINA UNICOM LTD  -ADR,1,73.2
Glencore Agriculture B.V,2,73.153
Telecommunication carrier,4,72.956
J. C. Penney Company Inc.,6,72.836
National Grid plc,14,72.823
Meike Silicon Energy,3,72.803
NFL Enterprises,12,72.741
Energy / oil & gas,2,72.69200000000001
Property Tax,2,72.682
Endeavor Energy Resources,2,72.596
Weikeng industrial co. ltd,1,72.55
"Southeast Asia, Central Asia, U.S, S.A & Africa",1,72.537
LabCorp,2,72.51400000000001
Contract Sales,5,72.51
Industrial & Embedded Systems,1,72.458
Ascend Technology,3,72.393
Seadragon Limited,1,72.385
Zhejiang and neighboring Jiangsu and Shanghai,10,72.287
"Answer Technology, Inc.",4,72.243
Federal or Foreign Governments & Militaries,4,72.096
SMT Electronic Circuit Board Assembly,2,72.019
"Singapore,Cambodia,Vietnam,China,Mexico,US & SWISS",1,71.9
WAV,3,71.53399999999999
"Charleston/Huntington, WV",2,71.41
Seminole Energy Services,5,71.383
"Wholesale,Roaming and Other",1,71.335
Team Alliance,1,71.111
U.S. Biomedical Advanced Research and Development,6,71.092
AnovoRx,3,70.927
"Aetna Health Management, LLC",1,70.89
Original Equipment Manufacturers (OEM) sales,2,70.843
Ingram Micro INC  -CL A,15,70.801
Elpida Memory Inc,2,70.793
Citizens Bank,6,70.785
Hon Hai Precision Industry Co Ltd,1,70.782
Mayne Pharma Group Ltd,3,70.68400000000001
Maersk Pool,1,70.553
Hybrid,3,70.478
Atlantis Group Inc,2,70.443
"U.K., Europe, Middle East and the Pacific Rim",9,70.424
Regal Beloit Corp,1,70.313
L-3 Communications Corporation,3,70.238
"84 Properties, LLC",6,70.16
"Winfield Solutions, LLC",2,70.106
Direct and Third Party Payment,1,70.085
DME channel,2,70.066
Mexico and Philippines,1,69.997
IndiGo,1,69.966
BP Exploration and Production,1,69.741
L.A. Fitness Sports Club,7,69.656
Hanyang Industrial Development Co. Ltd,2,69.569
"Shanghai Senhong Metal Co., Ltd.,",1,69.554
108 Customers,1,69.524
500 Customers,2,69.31
UT,6,69.211
Yamal Trade Pte. Ltd,1,69.006
WeWork,11,69.003
"California,Pennsylvania,Illinois,Michigan,TX,OH,FL",5,68.883
United Pharmacy Partners,2,68.874
U.S./Canada Direct,1,68.707
Shandong,3,68.605
Alternative Energy,5,68.53999999999999
Seariver,2,68.34899999999999
Johnson & Johnson MedTech,1,68.347
Atnahs Pharma UK Limited,1,68.1
Carrier Corp,11,68.09700000000001
IQE PLC,5,68.037
Valneva Scotland Limited,1,68.013
Partner and Marketplace,4,67.886
TAQA Bratani Limited,3,67.859
"Finance, insurance and real estate",1,67.758
Wipes,4,67.7
TravelCenters of America LLC,5,67.7
AllianceRx Walgreens Prime,1,67.608
"Beijing Shourong Forwarding Service Co., Ltd",4,67.473
Calamos Market Neutral Fund,2,67.458
Eastex Crude Company,1,67.446
Trading companies,5,67.402
General Building,3,67.36
Ascensia Diabetes Care Holdings AG,4,67.291
"Samsung Semiconductor, Inc",3,67.24799999999999
Aj Lucas Group Ltd,1,67.174
ExxonMobil Research and Engineering Company,3,67.16
"Orica USA, Inc.",1,67.09
Shoprite Holdings Ltd (Shp),21,67.067
Oil Combustibles S.A,2,67.063
Bayer Pharma AG,4,66.819
H&H Metals Corp,6,66.815
The State Oil Company of Azerbaijan,3,66.777
Scholastic,2,66.734
"Other Federal, State and Municipal",2,66.67
American Airlines Corporation,2,66.624
Cherry Corp,2,66.6
Fiat SPA,1,66.597
Garuda Capital Corp,2,66.576
Auramet Trading LLC,3,66.571
Golden Gate Capital,2,66.518
Bureau of Overseas Buildings Operations,1,66.5
EMD Serono,4,66.467
Oxy USA Inc.,5,66.465
Stone Ridge Holdings Group LP,3,66.455
MedImmune Inc.,9,66.393
Loral Space & Communications Inc,3,66.074
"Medicaid and Medicare,CHIP",1,66.0
South/Latin America,4,65.94
Pharmacy Wholesale,2,65.916
METROGAS SA  -ADR,2,65.875
Commercial and Small Utility Solar,3,65.81700000000001
NORTH CAROLINA,5,65.793
"Ohio, Wisconsin, Minnesota, North Dakota, Pennsylv",1,65.776
Food Service Technology,6,65.696
RaceTrac Petroleum Inc.,3,65.691
Golar,2,65.618
"Devon Energy Production, Inc",4,65.553
Canadian Tire Corp Ltd,11,65.469
Trafigura Maritime Logistics Pte. Ltd,5,65.235
Grocery and Mass,1,65.213
Bayer HealthCare LLC,4,65.071
"Aon Hewitt Financial Advisors, LLC",2,64.987
UofL Health Inc.,5,64.877
Vistra (BVI) Limited,1,64.866
"Dalian Ocean Shipping Co.,",1,64.767
"Distributors, e-commerce, National Chains & Region",3,64.736
"GS RC Investments, LLC.",3,64.736
"Kandi Electric Vehicles (Changxing) Co., Ltd.",1,64.687
Mobile phone,2,64.493
"Forever 21,Inc.",5,64.455
Business-to-Business (B2B),1,64.409
US Oncology Inc,7,64.385
Byram Healthcare,1,64.349
ONE LAMBDA INC,2,64.34
ScanSource Communications Inc,3,64.332
Par Pharmaceutical Companies Inc,6,64.27
Gas Transportation - Gas,13,64.269
Gol Linhas Aereas Inteligentes SA,3,64.2
Centrica North Sea Limited (Spirit Energy),2,64.16
Forest Laboratories Inc,2,64.086
Danisco A/S,2,64.084
Apotex Pharmaceutical Holdings Inc,2,64.001
South Carolina Public Service Commission,2,63.998000000000005
Electricity,4,63.989000000000004
Pharmaceutical/FDA-Regulated,5,63.876999999999995
Shire International GmbH,5,63.861999999999995
Merck Serono SA,6,63.811
Tektronix Inc.,3,63.721000000000004
Daybreak Healthcare,3,63.7
Janssen Biotech,3,63.7
Service Providers,1,63.635
Outside of Israel and Canada,2,63.584
PBF Holding Company LLC,1,63.551
Steel and industrial,4,63.464999999999996
GNC franchisee,5,63.421
NextEra Energy Resources,1,63.415
Ferring Pharmaceuticals,3,63.339
"Penn Virginia Oil & Gas, LP",1,63.313
"Life Fitness, Inc.",3,63.229
Baxter Corporation,4,63.197
Mobile apps subscribers,2,63.120000000000005
Foodservice Channel,1,63.116
Huadong,3,63.113
Big Four Banks,1,63.092
Shanghai Lingyun Pharmaceutical Company Ltd.,1,62.983
TJX COMPANIES INC,19,62.958999999999996
Indirect sales,2,62.858
"Elemetal, LLC",6,62.739
Swatch Group USA,1,62.636
Defense industry,1,62.635
Litasco,2,62.543000000000006
Career Technology Co Ltd,1,62.54
GlaxoSmithKline LLC,8,62.491
Oxy USA Inc,3,62.441
"C&N Ethanol Marketing, LLC",3,62.433
Cabela's Inc,4,62.428
Triton Capital Markets Ltd,4,62.4
Five Customers,1,62.355
Iron & Steel,1,62.142
ASD Healthcare and Oncology Supply,4,62.09
Noble Corp,5,62.031
NASA and U.S. Government contracts,4,62.03
L-3 COMMUNICATIONS CORP,3,61.989
Gazprom Marketing and Trading Singapore Pte. Ltd.,1,61.986
"Forest Research Institute, Inc.",7,61.787
Australia and New Zealand,1,61.77
Reseller,5,61.691
Jiangsu Meike Silicon Energy,3,61.652
Bharat Sanchar Nigam Ltd.,6,61.6
Commercial genomics,1,61.594
179 Customers,1,61.562
NJ,4,61.427
Hon Hai,2,61.407000000000004
Direct sales force,5,61.386
Grunenthal GmbH,7,61.361
Industrial - Firm-Gas,2,61.285
California Independent System Operator,2,61.244
Health plan in Puerto Rico,2,61.2
GENERAL MOTORS CORP,11,61.176
"Mining, Exploration and Production",7,61.176
Northern China,5,61.027
Gateway Gathering and Marketing,1,60.989
Pinedale Liquids Gathering System,3,60.933
"Bovis Lend Lease LMB, Inc.",2,60.782
Vifor Pharma AG,5,60.771
"China, Taiwan and Korea",1,60.765
Italian Government,4,60.613
U.S. Active Trader,1,60.598
United Technologies,2,60.51
57 Customers,1,60.508
Conair Corp,4,60.478
Multi-year master service agreements and long-term,2,60.385
Party City Corp,16,60.352000000000004
"Atlas Pipeline Mid-Continent WestTex, LLC",1,60.351
Retail Chain,1,60.3
Access,1,60.253
Penske,1,60.162
China Unicom,6,60.063
Subcontractors,1,60.051
Windsor Midstream LLC,2,60.039
Industrial/catalog,3,59.908
Tinuum Group,6,59.847
"Power Energy Partners, LP",1,59.795
Distributors & Resellers,6,59.782
Merck Sharp & Dohme LLC,2,59.75
Mediterranean Shipping,3,59.739000000000004
NEWEGG INC  -REDH,2,59.672
A. Menarini International Licensing S.A.,2,59.653000000000006
Oxford University Innovation,3,59.58
RWE Supply,2,59.56
Contract Operations,4,59.434
Government & Public Services,3,59.334
"CIMA Energy, LTD",1,59.104
"Forever 21, Inc",4,59.104
Lenovo Mobile Communication Technology Ltd.,3,59.083
Licensors,2,58.903999999999996
Les Laboratoires Servier and Institut de Recherche,7,58.898
Deiulemar Shipping S.A.,2,58.894000000000005
PTT Exploration and Production Public Co Ltd,1,58.872
Canon Inc  -ADR,12,58.855999999999995
BG (Methane),2,58.846999999999994
Shire AG,4,58.838
Automotive industry,1,58.83
"Cravath Swaine & Moore, LLP",2,58.81
Asia & Others,1,58.711
Mongolia,1,58.636
"New Ark Investment, Inc.",1,58.6
Southeastern Idaho,1,58.56
"Yangtze Memory Technologies Co., Ltd.,",2,58.53
BP Shipping,2,58.504999999999995
NESTLE SA  -ADR,1,58.503
Pearl Oil Ltd,1,58.465
Outside Israel,2,58.389
Infinity Transportation,1,58.361
Business & Technology Services,3,58.345
West Penn Power Co,4,58.212
Mining & Construction,1,58.183
"Nomura Holdings America, Inc.",3,57.971000000000004
GlaxoSmithKline Intellectual Property Development,5,57.701
Uniden America Corporation,3,57.586
Qurate Retail Inc,5,57.51
Beijing Municipality,2,57.44499999999999
Medicare/Medicaid,3,57.436
"Targa Delaware, LLC and Targa Crude Pipeline, LLC",1,57.434
Europe and United Kingdom,1,57.253
United States Government (other than Army),1,57.184
Korea Southern Power Company,5,57.134
COEMs,1,57.06
"THRC Holdings, LP",3,56.943
"HealthSmart Preferred Care, Inc.",3,56.875
"Cravath, Swaine & Moore, LLP",2,56.769
"Slawson Exploration Company, Inc",3,56.716
Alcon Research LLC,1,56.701
Subscription boxes,4,56.657000000000004
Walter Oil & Gas Corporation,8,56.644
"Samsung display co.,ltd.",1,56.606
Laclede Energy,2,56.45
FISHER SCIENTIFIC INTL INC,3,56.415
"Barclays Capital, Inc",2,56.296
Titan Oil,1,56.129
"MMM Healthcare, Inc",1,56.1
Industrial & Communications,2,56.027
Hilton Hotels Corporation,7,56.0
Municipalities and Cooperatives,1,55.983
"Zhongtianxin Science and Technology Co., Ltd",1,55.962
Mundipharma Medical Company,4,55.941
PACIFIC GAS & ELECTRIC CO,4,55.9
Banking Production Centre,3,55.889
Helsinn Healthcare S.A.,2,55.789
Wholesale distribution,1,55.734
Calico Life Sciences LLC,6,55.722
Computer System Design Services,5,55.7
Jilin,6,55.594
DigiKey Electronics,3,55.413
Entertainment & Recreation,2,55.352000000000004
"CDF2 Holdings, LLC",2,55.332
Ontario Cannabis Retail Corp,2,55.314
Daiichi Sankyo Company Ltd,10,55.266
Fundacao Oswaldo Cruz (Fiocruz),9,55.215
SK Broadband Co Ltd,2,55.107
APRO Co Ltd,3,55.105000000000004
Tanker Market,1,55.072
Residential-Transportation,6,55.0
VWR International Inc,5,54.957
Insurance Carriers,3,54.891999999999996
Savvis Communications,1,54.813
Qingdao Ruizhi Yixing Information Technology Co.,1,54.775
PVR Midstream LLC,2,54.749
Louisville Bedding Co,3,54.697
OXXO,1,54.67
S-Group,2,54.622
End Users,1,54.555
Commave Therapeutics S.A.,4,54.5
Two customers,1,54.5
Isramco Negev 2 Limited Partnership,2,54.471000000000004
"Dominion Bridgeport Fuel Cell, LLC",1,54.421
Sistemas Corporation,9,54.414
"Wildcat Permian Services, LLC",1,54.391
Sanofi-Aventis Deutschland,3,54.382000000000005
OEM/Embedded Security,2,54.31
Maritime Security Program,1,54.225
Holistic Industries Inc.,3,54.053
Direct and third party payment,1,53.956
"Mylan, Inc.",1,53.919
Nokia/Alcatel-Lucent,1,53.8
Sales on their own behalf- MetroEnergia,1,53.782
100 customers,2,53.771
Direct and other third party payment,1,53.637
ASD Specialty Healthcare LLC,6,53.563
Pantry Inc (The),11,53.543
"Direct Energy Business Marketing, LLC",4,53.352000000000004
Home Care - Commercial,2,53.342
Auto Components,1,53.257
Corn Belt,3,53.178
Guangzhou City A Power NaWei Trading Co. Ltd,1,53.16
Honeywell International Inc.,5,53.134
"United Pharmacy Partners, Inc",1,53.093
Biotest AG,12,53.064
Socar,4,52.971999999999994
Mansel,4,52.903000000000006
Hanwha Chemical Corp,8,52.899
Lowe's Companies Inc,2,52.82
L&W,1,52.806
GTECH CORP,5,52.758
Uniquest Inc,1,52.669
Kesko OYJ,3,52.647
"Laboratory Corporation of America, Inc",5,52.576
"Seattle, WA",1,52.41
Larson Ltd,1,52.318
Nintendo Wii,2,52.302
"Vitol, Inc",1,52.2
CSL Ltd,1,52.066
505 Games s.r.l,4,52.037
OXY USA Inc,1,51.925
Local natural gas,1,51.898
Chemicals and Allied Products,5,51.887
Pacific Gas & Electric Company,2,51.79
Hynix Semiconductor,2,51.736000000000004
Valero,10,51.730000000000004
Valero Marketing,1,51.646
"BlueStar, Inc.",15,51.618
Licensees,4,51.603
VTech Telecommunications Limited,7,51.569
Mega Retail Ltd.,7,51.556
"Electronic Equip, Instruments",5,51.386
Samsun Logix,2,51.385000000000005
5 Electronics Stores,1,51.3
Accenture LLP,8,51.075
Cystic Fibrosis Foundation,12,50.989
"Sun Capital Partners, Inc.",7,50.916
Commercial Health Insurance Payors,1,50.861
Oath Inc.,2,50.843999999999994
Crop Production Services Inc,1,50.814
Chemical Manufacturing,1,50.714
Southern California Edison Co,1,50.644
Pharmaceutical industry,9,50.426
ZIM Israel Integrated Shipping Services,1,50.355
"Universal Pool Co., Inc.",9,50.286
"Beijing Sense Time Information Technology Co., Ltd",2,50.257999999999996
Commercial Enterprises,2,50.19
"Devlar Energy Marketing, LLC",1,50.134
"Roche, Inc.",2,50.024
Baxter Healthcare SA,3,50.0
Johnson and Johnson Innovative Medicine,1,50.0
Global Maritime Investments Ltd,1,49.964
New Zealand,2,49.929
The United Illuminating Company,3,49.882
Ferring Pharmaceuticals BV,10,49.723
Chevron Products Company,2,49.684
Solartech Energy Corp,4,49.659
BHP BILLITON GROUP (AUS)-ADR,1,49.581
"California, Texas, Florida, New Jersey and Michiga",2,49.56
Energy industry,6,49.523
Whirlpool Inc.,2,49.491
BPC Engineering,3,49.36
Argor-Heraeus,1,49.3
"EA Pharma Co., Ltd.",4,49.269999999999996
Cheyenne Petroleum,6,49.228
Direct-to Consumer,1,49.184
Outside Canada,3,49.087
"ON Semiconductor Korea, Ltd.",3,49.065
"Finance, Insurance, and Real Estate",2,49.056
Heilongjiang,1,48.892
Mexico and Canada,4,48.853
Independent agencies,3,48.493
"The Gap, Inc.",17,48.475
Jab Holdings Ltd,7,48.316
U.S. Dairy & Beef Industries,8,48.316
"Starin Marketing, Inc.",9,48.308
F. Hoffmann-La Roche Ltd. and Hoffmann-La Roche In,3,48.3
"Zai Lab (Shanghai) Co., Ltd",3,48.255
Hansoh Pharmaceutical Group Company Limited,4,48.241
Non-Pharmaceutical,2,48.203
BGN,2,48.185
Defense Advanced Research Projects Agency,3,48.169
GEORGE E. WARREN LLC,2,48.055
Alight,1,48.051
Daiichi Sankyo Co Ltd,8,47.999
BAUSCH & LOMB INC,10,47.954
U.S. Government/Defense,8,47.916
"Abbott Japan Co. Ltd.,",2,47.864
Arch Insurance Company,13,47.855
Electric Reliability Council of Texas,1,47.822
Synnex Information Technologies Inc.,3,47.749
BP Exploration Alaska Inc.,1,47.731
Amtrak,7,47.717
Lowes Cos,1,47.715
Laboratory Corporation of America,1,47.666
LPC Crude III,1,47.623
Santoku Corporation,1,47.62
"Davol, Inc.",4,47.614000000000004
Professional services,2,47.417
Carrier Networking,1,47.369
Antengene Therapeutics Limited,4,47.3
Tecpetrol,3,47.289
OFFICE DEPOT INC,8,47.148
"Nomura Holding America, Inc",1,47.044
Wireline Communications,1,47.043
"Micron, Inc.",2,46.914
Henry Resources LLC,1,46.87
Chiesi Farmaceutici S.p.A,2,46.828
Kaken Pharmaceutical Co Ltd,4,46.69
Torii Pharmaceutical Co Ltd,12,46.668
Natural Gas - Industrial,13,46.583999999999996
HCA Corporation,7,46.525999999999996
Furniture and Garment Manufacturing Industries,1,46.511
Capital Goods,1,46.473
Northrup Grumman Corporation,5,46.446
"Extendicare, Inc. & Assisted Living Concepts, Inc.",4,46.376999999999995
UCB Pharma,2,46.337
Transportation - Residential,1,46.3
Reliance Petroleum Ltd,1,46.277
Public - Education,1,46.244
ENTERPRISE PRODS PRTNRS  -LP,4,46.159000000000006
C-002 of Mingzhu 100 Market,3,46.144
Mobile Communications and Consumer Electronics,2,46.128
Shell Cia. Argentina de Petroleo S.A.,1,46.123
Domestic Wearhouse sales,3,46.07299999999999
Managed Care Insurance,1,46.06
Merck KGaA,6,46.009
National Grid dba Keyspan,3,45.935
"Orsini Pharmaceutical Services, Inc.",3,45.931000000000004
BRAZIL,1,45.9
"Qingdao Ronghe Energy Co., Ltd",1,45.9
Public Education,1,45.826
PRONATEL,1,45.817
Xiamen Biotime Biotechnology Co.Ltd,1,45.726
Mexico and India,2,45.712
Teneska Marketing Ventures,1,45.645
"Limited Brands, Inc.",5,45.636
Domtar Inc,2,45.577
TransAct Services Group,7,45.556
"Morphosys AG, Martinsried",6,45.5
H.H. Brown Shoe Company,4,45.47
Urban mobility,2,45.461
Brii Biosciences Limited,3,45.436
Consumer Staples Distribution,2,45.403999999999996
SanReno Therapeutics,2,45.400000000000006
"United Healthcare Services, Inc.",16,45.386
Union Bank Ltd,3,45.353
"Greystone, LLC",3,45.296
Pharmaceutical and biotechnology,1,45.233
"Guizhou Shuanghe Industrial & Trading Co., Ltd",2,45.092
Panasonic Communications Ltd,4,45.064
Mining & Energy,3,45.021
Arthrex,6,44.983
Morgan Stanley Capital Group Inc,2,44.981
Menarini,2,44.939
"Favs Business, LLC",4,44.931
"ARM Energy Management, LLC",1,44.923
UTD MICROELECTRONICS  -ADR,3,44.902
Home Decor,3,44.897
"Grupo Aeromexico, S.A.B. de C.V.",1,44.858
Roll-off,1,44.817
FUJITSU LTD  -ADR,3,44.799
Shaanxi,1,44.795
Wuhan Railway Zhongli Group,2,44.739999999999995
142 Customers,1,44.641
Hefei Liantuo Tianji E-commence Corporation Ltd,2,44.625
Stratton Metal Resources,1,44.589
"Douyu Internet Technology Co., Ltd",2,44.410000000000004
Canadia,2,44.4
Chevron Marine Products LLC,2,44.239000000000004
Hollander Home Fashions,3,44.202
Institutions and payers,2,44.153999999999996
Telecommunication Services,4,44.069
Utica,1,44.063
European Countries,3,44.051
"Bridger Energy, LLC",1,44.035
Controlled Environment Agriculture (CEA),1,44.026
Calpine Producer Services LP,2,43.966
Millenium Holding Group,2,43.954
American Education Services,2,43.946
"Eco-Energy, LLC",3,43.926
Clinics/Hospitals,3,43.816
Non-Healthcare,11,43.762
Process Control and Metrology,8,43.739999999999995
Penn Virginia Corp,1,43.704
Petsmart,2,43.59
Vertex,1,43.568
International - Casino and gaming,3,43.531
RTO ancillary,1,43.5
Health Agencies,1,43.466
"FibroGen, Inc.",3,43.442
Fastweb,1,43.4
Individuals and communities,2,43.397999999999996
OIA Global,3,43.311
Securities Association of China,3,43.308
Emerson Electric Company and Subsidiaries,1,43.306
Dafurong Biotechnology (HK) Ltd.,3,43.291
"Siracom, Inc",3,43.284
Laclede Group Inc. (The),3,43.135000000000005
"MedStar Health, Inc.",2,43.132
Government Savings Bank Fund Class A,5,43.075
UCB Pharma S.A.,3,42.979
Louis Dreyfus Nat Gas Corp,1,42.929
Clothing and footwear,2,42.909
PSM-ZJK,3,42.827
Glencore International AG,1,42.746
Commercial Revenue,1,42.713
Niagara Mohawk Power Corporation,1,42.627
Governmental Customers,2,42.608
Tiger Global,2,42.607
Unipec UK Company Limited,1,42.563
ADT Security Services,2,42.53
Petrobras Energia Participaciones SA,1,42.478
Tianjin Wahaha Group,2,42.361
Henan,6,42.354
"Victory Renewables, LLC",3,42.345
Industrial Sensing/NDT,4,42.332
Saipem Kazakhstan Branch,3,42.293
PJM Interconnection LLC,1,42.238
Micron,5,42.048
"Novartis Institutes for Biomedical Research, Inc.,",4,42.022999999999996
"Qufu Shengwang Import and Export Trade Co., Ltd",5,41.95
"Gulfmark Energy, Inc.",5,41.934
Toluca,1,41.915
Debiopharm,3,41.902
TC Energy Keystone Pipeline LP,1,41.9
Esso Petrolera Argentina S.A.,2,41.774
"JP Energy Permian, LLC",1,41.699
Logistics,1,41.65
Golf Club Manufacturers,1,41.58
"Foxconn Electronics, inc.",1,41.5
Starin Marketing,5,41.476
Business-to-business,1,41.439
Fisker Automotive Inc,1,41.378
Bio-Reference,5,41.309
"Broker / Treatment, Storage and Disposal Facility",1,41.285
Seqirus UK Limited,3,41.277
Telamon,3,41.268
Individual customers,1,41.245
ETC Texas Pipeline LTD,1,41.15
PC Mauritania 1 Pty Ltd.,2,41.149
Government Agencies,1,41.135
The Tampa Electric Company,2,41.122
ApolloBio Corp,3,41.072
Elan Pharma International Limited,2,41.06
Vermont,1,41.03
Everest Medicines Limited,8,40.935
"Hearthstone Senior Services, L.P.",1,40.915
Paper Cartoon Manufacturing,1,40.89
"Charles River Laboratories,Inc.,",2,40.785
Contura Energy Inc,1,40.743
National Exchange Carriers Association,4,40.693
"Maruho Co., Ltd.",5,40.69
Qatar Energy Trading LLC,1,40.635
Cokem,2,40.508
Nuance Pharma Limited,2,40.458
Hudson,4,40.348
Biomedical Advanced Research&Development Authority,7,40.343
Cardiovascular Market,1,40.155
Healios KK,5,40.064
Teijin Ltd,1,40.0
Biovail Laboratories International SRL,1,40.0
"Sun Home Services, Inc.",2,39.844
Telvent Energia Y Medioambiente SA,1,39.803
Transportation-Electric,4,39.803
"Vonage America, Inc.",9,39.778999999999996
McKesson Specialty Care Distribution LLC,3,39.768
Qatar Gas,2,39.591
EmpRes,3,39.5
"ETC Texas Pipeline, ltd.",2,39.471
HollyFrontier Refining and Marketing,3,39.453
Woodside Energy,1,39.45
Resource Capital Corp,3,39.442
Institution,2,39.433
The Cannabist Company Holdings Inc,3,39.343
VivaAerobus,2,39.329
"United HealthCare Services, Inc",4,39.288
EDG INC,1,39.258
Indirect customers,1,39.248
LQW Technology Company Limited,2,39.123
Singapore & Cambodia,1,39.1
WA,3,39.094
CP Energy LLC,1,39.048
Solargiga Energy Holdings,2,38.979
Flint Hills Resources,1,38.977
Recycled copper products customers,1,38.964
Massachusetts,1,38.905
Distributors and resellers,1,38.833
Zenas BioPharma Limited,8,38.784
Allogene Overland BioPharm (HK) Limited,2,38.732
China Mobile Communications Corporation Guangdong,1,38.728
PVR Midstream,1,38.709
Round One Entertainment,7,38.549
Central Valley Area,1,38.527
"Mewbourne Oil Company, Inc",1,38.52
Eni US Operating Co. Inc.,1,38.497
"Foshan City Jundian Ceramics Co., Ltd.",4,38.449
Compania Sud Americana De Vapores Sa Vapores,2,38.413
Business to Physician,1,38.38
"Sprint Communications Co., LP",4,38.314
Icenet,3,38.29
PA,6,38.284
Medco,1,38.284
Indirect Market,4,38.278
Domestic - OraQuick,1,38.218
Davol,2,38.217
"Reliant Medical Group, Inc.",5,38.173
"Targus Group International, Inc.",2,38.138999999999996
Orange PLC,3,38.115
"Qilu Pharmaceutical Co., Ltd",3,38.038000000000004
Nigeria LNG Ltd,1,37.994
Tasly Pharmaceutical Group Co Ltd,3,37.991
Other EMEA region,2,37.903999999999996
Engineering & Computer Science,1,37.859
"Starmark Holdings, LLC",5,37.832
Home Entertainment,2,37.812
Membership,5,37.539
Medical Imaging,1,37.492
Equinor Shipping Inc,2,37.443
"Belvan Partners, LP (WTG)",1,37.394
Weichai LOVOL Heavy Industry Co. Ltd,5,37.342999999999996
"Paloma Natural Gas, LLC",1,37.342
At Home,9,37.341
Crop Production Services,11,37.227000000000004
Tura Scandinavia AB,4,37.15
Novartis International,1,37.149
OH,6,37.124
Upper Michigan,6,37.05
Furniture Manufacturing Industry,1,37.039
Daelim H&L Co. Ltd,3,36.921
Sprint/United Management Company,2,36.907000000000004
TCB Group Electronic & Science Co. Ltd,1,36.89
Industrial Distributors,3,36.879999999999995
US Government General Services Administration(GSA),1,36.879
Direct to Customer,1,36.875
Non-space U.S. Government/DOD customers,2,36.866
Planetarium Theaters,2,36.819
Rest of EMEA,2,36.715
Ministry of Communications in Colombia,2,36.661
Zhejiang,5,36.519
Arysta LifeScience North America Corporation,1,36.509
"Art, Media, Hotels & Entertainment",2,36.301
Travelers Indemnity Co.,1,36.3
"Pro Petro Services, Inc",3,36.275
Mass retail,4,36.246
"Sandoz Inc.,",1,36.239
Indirect channels,4,36.201
DISH Wireless L.L.C,3,36.2
"VAALCO Gabon,Inc.",1,36.192
"Fiserv Solutions, Inc.",15,36.17
Southern and Eastern Asia,1,36.167
Roche Diabetes Care GmbH,3,36.165
MILLENIUM HOLDING GROUP,1,36.021
Lai En Century Co Ltd,4,36.005
KAZ Inc.,1,35.932
Panasonic Corp,19,35.864000000000004
Credit Suisse,2,35.757000000000005
Unimark LLC,1,35.752
Intel Mobile Communications GmbH,1,35.687
Bio-Manguinhos,2,35.627
Carrington Farms,1,35.6
"North Palm Springs Investments, LLC",1,35.539
Medical and Dental,2,35.525999999999996
Ecuadorian government,2,35.503
News America Inc,10,35.471999999999994
The Big Ten Conference,2,35.469
Chiesi Farmaceutici S.p.A.,7,35.46
Sprouts Farmers Market Inc,8,35.458
Medicare/Medi-Cal,3,35.403999999999996
"Southern Wine and Spirits of America, Inc.",2,35.396
Shanghai Yunmihui Supply Chain Group Co. LTD,1,35.273
Technology companies,1,35.248
Horizon Therapeutics Ireland DAC,3,35.17
Cybertan Technology Inc,4,35.119
Nebraska,9,35.056
Venezuela,4,35.0
Janssen Inc,1,35.0
Ageson Industrial Sdn. Bhd,1,34.995
Glaxosmithkline Intellectual Property Limited,3,34.987
Technology service providers,3,34.986
J.C. Penney Company Inc.,1,34.965
37 Customers,3,34.911
Winch Energy Group,1,34.882
Penfield Tankers (Aframax) LLC,1,34.86
STRATOS GLOBAL CORP,1,34.817
HGST,8,34.783
Galp Energia SGPS SA,1,34.693
Medical Only - US States,1,34.676
CHINA TELECOM CORP LTD  -ADR,1,34.6
Shamir Insight,1,34.6
Hospitals and surgical facilities,2,34.596000000000004
U.S. Fee revenue,3,34.579
Partner Services,4,34.567
"AT&T Services, Inc.",7,34.54
Home Health Care,5,34.489
Electronics/Manufacturing Industry,1,34.46
LP Building Products (LP),6,34.46
