gvkey,srcdate,rdq,signal_date,rdq_source
001078,2012-12-31,2013-01-23,2013-01-23,RDQ_MATCHED
001078,2013-12-31,2014-01-22,2014-01-22,RDQ_MATCHED
001078,2014-12-31,2015-01-29,2015-01-29,RDQ_MATCHED
001078,2015-12-31,2016-01-28,2016-01-28,RDQ_MATCHED
001078,2016-12-31,2017-01-25,2017-01-25,RDQ_MATCHED
001078,2017-12-31,2018-01-24,2018-01-24,RDQ_MATCHED
001078,2018-12-31,2019-01-23,2019-01-23,RDQ_MATCHED
001078,2010-12-31,2011-01-26,2011-01-26,RDQ_MATCHED
001078,2020-12-31,2021-01-27,2021-01-27,RDQ_MATCHED
001078,2021-12-31,2022-01-26,2022-01-26,RDQ_MATCHED
001078,2022-12-31,2023-01-25,2023-01-25,RDQ_MATCHED
001078,2023-12-31,2024-01-24,2024-01-24,RDQ_MATCHED
001078,2024-12-31,2025-01-22,2025-01-22,RDQ_MATCHED
001078,2019-12-31,2020-01-22,2020-01-22,RDQ_MATCHED
001082,2010-04-30,2010-07-28,2010-07-28,RDQ_MATCHED
001082,2011-04-30,2011-07-29,2011-07-29,RDQ_MATCHED
001094,2017-06-30,2017-08-24,2017-08-24,RDQ_MATCHED
001094,2018-06-30,2018-09-28,2018-09-28,RDQ_MATCHED
001094,2010-06-30,2010-09-10,2010-09-10,RDQ_MATCHED
001094,2011-06-30,2011-09-09,2011-09-09,RDQ_MATCHED
001094,2012-06-30,2012-09-06,2012-09-06,RDQ_MATCHED
001094,2013-06-30,2013-08-28,2013-08-28,RDQ_MATCHED
001094,2014-06-30,2014-09-04,2014-09-04,RDQ_MATCHED
001094,2015-06-30,2015-09-10,2015-09-10,RDQ_MATCHED
001094,2016-06-30,2016-08-25,2016-08-25,RDQ_MATCHED
001104,2010-12-31,2011-03-03,2011-03-03,RDQ_MATCHED
001104,2011-12-31,2012-03-01,2012-03-01,RDQ_MATCHED
001104,2012-12-31,2013-02-28,2013-02-28,RDQ_MATCHED
001104,2013-12-31,2014-02-26,2014-02-26,RDQ_MATCHED
001104,2014-12-31,2015-02-26,2015-02-26,RDQ_MATCHED
001104,2015-12-31,2016-02-25,2016-02-25,RDQ_MATCHED
001104,2016-12-31,2017-02-23,2017-02-23,RDQ_MATCHED
001104,2017-12-31,2018-02-27,2018-02-27,RDQ_MATCHED
001104,2018-12-31,2019-02-28,2019-02-28,RDQ_MATCHED
001104,2019-12-31,2020-02-27,2020-02-27,RDQ_MATCHED
001104,2020-12-31,2021-03-03,2021-03-03,RDQ_MATCHED
001104,2021-12-31,2022-03-01,2022-03-01,RDQ_MATCHED
001104,2022-12-31,2023-03-02,2023-03-02,RDQ_MATCHED
001104,2023-12-31,2024-03-01,2024-03-01,RDQ_MATCHED
001104,2024-12-31,2025-02-28,2025-02-28,RDQ_MATCHED
001117,2010-12-31,2011-03-02,2011-03-02,RDQ_MATCHED
001117,2011-12-31,2012-03-06,2012-03-06,RDQ_MATCHED
001117,2012-12-31,2013-03-05,2013-03-05,RDQ_MATCHED
001117,2013-12-31,2014-03-05,2014-03-05,RDQ_MATCHED
001117,2014-12-31,2015-03-04,2015-03-04,RDQ_MATCHED
001117,2015-12-31,2016-03-02,2016-03-02,RDQ_MATCHED
001117,2016-12-31,2017-03-01,2017-03-01,RDQ_MATCHED
001117,2017-12-31,2018-03-06,2018-03-06,RDQ_MATCHED
001117,2018-12-31,2019-02-27,2019-02-27,RDQ_MATCHED
001117,2019-12-31,2020-03-04,2020-03-04,RDQ_MATCHED
001117,2020-12-31,2021-03-03,2021-03-03,RDQ_MATCHED
001117,2021-12-31,2022-03-17,2022-03-17,RDQ_MATCHED
001117,2022-12-31,2023-03-16,2023-03-16,RDQ_MATCHED
001117,2023-12-31,2024-03-14,2024-03-14,RDQ_MATCHED
001117,2024-12-31,2025-03-27,2025-03-27,RDQ_MATCHED
001121,2010-12-31,2011-03-21,2011-03-21,RDQ_MATCHED
001121,2011-12-31,2012-03-22,2012-03-22,RDQ_MATCHED
001121,2012-12-31,2013-03-14,2013-03-14,RDQ_MATCHED
001121,2013-12-31,2014-03-12,2014-03-12,RDQ_MATCHED
001121,2014-12-31,2015-03-12,2015-03-12,RDQ_MATCHED
001121,2015-12-31,2016-03-10,2016-03-10,RDQ_MATCHED
001121,2016-12-31,2017-03-15,2017-03-15,RDQ_MATCHED
001121,2017-12-31,2018-03-12,2018-03-12,RDQ_MATCHED
001121,2018-12-31,2019-03-08,2019-03-08,RDQ_MATCHED
001121,2019-12-31,2020-03-05,2020-03-05,RDQ_MATCHED
001121,2020-12-31,2021-03-04,2021-03-04,RDQ_MATCHED
001121,2021-12-31,2022-03-08,2022-03-08,RDQ_MATCHED
001121,2022-12-31,2023-03-15,2023-03-15,RDQ_MATCHED
001121,2023-12-31,2024-03-13,2024-03-13,RDQ_MATCHED
001161,2010-12-31,2011-01-20,2011-01-20,RDQ_MATCHED
001161,2011-12-31,2012-01-24,2012-01-24,RDQ_MATCHED
001161,2012-12-31,2013-01-22,2013-01-22,RDQ_MATCHED
001161,2013-12-31,2014-01-21,2014-01-21,RDQ_MATCHED
001161,2014-12-31,2015-01-20,2015-01-20,RDQ_MATCHED
001161,2015-12-31,2016-01-19,2016-01-19,RDQ_MATCHED
001161,2016-12-31,2017-01-31,2017-01-31,RDQ_MATCHED
001161,2017-12-31,2018-01-30,2018-01-30,RDQ_MATCHED
001161,2018-12-31,2019-01-29,2019-01-29,RDQ_MATCHED
001161,2019-12-31,2020-01-28,2020-01-28,RDQ_MATCHED
001161,2020-12-31,2021-01-26,2021-01-26,RDQ_MATCHED
001161,2021-12-31,2022-02-01,2022-02-01,RDQ_MATCHED
001161,2022-12-31,2023-01-31,2023-01-31,RDQ_MATCHED
001161,2023-12-31,2024-01-30,2024-01-30,RDQ_MATCHED
001161,2024-12-31,2025-02-04,2025-02-04,RDQ_MATCHED
001166,2016-12-31,2017-03-02,2017-03-02,RDQ_MATCHED
001166,2017-12-31,2018-02-28,2018-02-28,RDQ_MATCHED
001166,2018-12-31,2019-02-21,2019-02-21,RDQ_MATCHED
001166,2010-12-31,2011-03-02,2011-03-02,RDQ_MATCHED
001166,2011-12-31,2012-03-06,2012-03-06,RDQ_MATCHED
001166,2012-12-31,2013-03-06,2013-03-06,RDQ_MATCHED
001166,2013-12-31,2014-02-26,2014-02-26,RDQ_MATCHED
001166,2014-12-31,2015-03-04,2015-03-04,RDQ_MATCHED
001166,2015-12-31,2016-02-23,2016-02-23,RDQ_MATCHED
001166,2019-12-31,2020-02-25,2020-02-25,RDQ_MATCHED
001166,2020-12-31,2021-02-25,2021-02-25,RDQ_MATCHED
001166,2021-12-31,2022-02-22,2022-02-22,RDQ_MATCHED
001166,2022-12-31,2023-02-28,2023-02-28,RDQ_MATCHED
001166,2023-12-31,2024-02-27,2024-02-27,RDQ_MATCHED
001166,2024-12-31,2025-02-25,2025-02-25,RDQ_MATCHED
001173,2010-01-31,2010-04-07,2010-04-07,RDQ_MATCHED
001173,2011-01-31,2011-05-02,2011-05-02,RDQ_MATCHED
001173,2012-01-31,2012-04-30,2012-04-30,RDQ_MATCHED
001173,2013-01-31,2013-05-01,2013-05-01,RDQ_MATCHED
001177,2010-12-31,2011-02-04,2011-02-04,RDQ_MATCHED
001177,2011-12-31,2012-02-01,2012-02-01,RDQ_MATCHED
001177,2012-12-31,2013-01-31,2013-01-31,RDQ_MATCHED
001177,2013-12-31,2014-02-06,2014-02-06,RDQ_MATCHED
001177,2014-12-31,2015-02-03,2015-02-03,RDQ_MATCHED
001177,2015-12-31,2016-02-01,2016-02-01,RDQ_MATCHED
001177,2016-12-31,2017-01-31,2017-01-31,RDQ_MATCHED
001177,2017-12-31,2018-01-30,2018-01-30,RDQ_MATCHED
001186,2014-12-31,2015-02-11,2015-02-11,RDQ_MATCHED
001186,2015-12-31,2016-02-10,2016-02-10,RDQ_MATCHED
001186,2016-12-31,2017-02-15,2017-02-15,RDQ_MATCHED
001186,2017-12-31,2018-02-14,2018-02-14,RDQ_MATCHED
001186,2018-12-31,2019-02-14,2019-02-14,RDQ_MATCHED
001186,2019-12-31,2020-02-13,2020-02-13,RDQ_MATCHED
001186,2020-12-31,2021-02-11,2021-02-11,RDQ_MATCHED
001186,2021-12-31,2022-02-23,2022-02-23,RDQ_MATCHED
001186,2022-12-31,2023-02-16,2023-02-16,RDQ_MATCHED
001186,2023-12-31,2024-02-15,2024-02-15,RDQ_MATCHED
001186,2024-12-31,2025-02-13,2025-02-13,RDQ_MATCHED
001209,2018-09-30,2018-11-06,2018-11-06,RDQ_MATCHED
001209,2019-09-30,2019-11-07,2019-11-07,RDQ_MATCHED
001209,2020-09-30,2020-11-11,2020-11-11,RDQ_MATCHED
001209,2021-09-30,2021-11-04,2021-11-04,RDQ_MATCHED
001209,2022-09-30,2022-11-03,2022-11-03,RDQ_MATCHED
001209,2023-09-30,2023-11-07,2023-11-07,RDQ_MATCHED
001209,2024-09-30,2024-11-07,2024-11-07,RDQ_MATCHED
001209,2025-09-30,2025-11-06,2025-11-06,RDQ_MATCHED
001210,2010-03-31,2010-06-08,2010-06-08,RDQ_MATCHED
001210,2011-03-31,2011-06-03,2011-06-03,RDQ_MATCHED
001210,2012-03-31,2012-06-05,2012-06-05,RDQ_MATCHED
001210,2013-03-31,2013-06-04,2013-06-04,RDQ_MATCHED
001210,2014-03-31,2014-06-02,2014-06-02,RDQ_MATCHED
001210,2015-03-31,2015-06-08,2015-06-08,RDQ_MATCHED
001210,2016-03-31,2016-06-29,2016-06-29,RDQ_MATCHED
001210,2017-03-31,2017-10-13,2017-10-13,RDQ_MATCHED
001210,2018-03-31,2018-06-29,2018-06-29,RDQ_MATCHED
001210,2019-03-31,2019-06-28,2019-06-28,RDQ_MATCHED
001210,2020-03-31,2020-06-26,2020-06-26,RDQ_MATCHED
001210,2021-03-31,2021-06-25,2021-06-25,RDQ_MATCHED
001210,2022-03-31,2022-06-28,2022-06-28,RDQ_MATCHED
001210,2023-03-31,2023-06-27,2023-06-27,RDQ_MATCHED
001210,2024-03-31,2024-06-26,2024-06-26,RDQ_MATCHED
001210,2025-03-31,2025-06-27,2025-06-27,RDQ_MATCHED
001224,2010-12-31,2011-01-27,2011-01-27,RDQ_MATCHED
001224,2011-12-31,2012-01-25,2012-01-25,RDQ_MATCHED
001224,2012-12-31,2013-01-23,2013-01-23,RDQ_MATCHED
001224,2013-12-31,2014-02-11,2014-02-11,RDQ_MATCHED
001224,2013-12-31,2014-02-11,2014-02-11,RDQ_MATCHED
001224,2014-09-30,2014-11-25,2014-11-25,RDQ_MATCHED
001224,2019-09-30,2019-11-26,2019-11-26,RDQ_MATCHED
001224,2020-09-30,2020-11-18,2020-11-18,RDQ_MATCHED
001224,2021-09-30,2021-11-22,2021-11-22,RDQ_MATCHED
001224,2022-09-30,2022-11-16,2022-11-16,RDQ_MATCHED
001224,2023-09-30,2023-11-16,2023-11-16,RDQ_MATCHED
001224,2024-09-30,2024-11-20,2024-11-20,RDQ_MATCHED
001224,2025-09-30,2025-11-14,2025-11-14,RDQ_MATCHED
001225,2010-12-31,2011-01-26,2011-01-26,RDQ_MATCHED
001225,2011-12-31,2012-01-25,2012-01-25,RDQ_MATCHED
001225,2012-12-31,2013-01-30,2013-01-30,RDQ_MATCHED
001225,2013-12-31,2014-01-29,2014-01-29,RDQ_MATCHED
001225,2014-12-31,2015-02-04,2015-02-04,RDQ_MATCHED
001225,2015-12-31,2016-02-03,2016-02-03,RDQ_MATCHED
001225,2016-12-31,2017-02-22,2017-02-22,RDQ_MATCHED
001225,2017-12-31,2018-02-21,2018-02-21,RDQ_MATCHED
001225,2018-12-31,2019-02-20,2019-02-20,RDQ_MATCHED
001225,2019-12-31,2020-02-20,2020-02-20,RDQ_MATCHED
001225,2020-12-31,2021-02-18,2021-02-18,RDQ_MATCHED
001225,2021-12-31,2022-02-17,2022-02-17,RDQ_MATCHED
001225,2022-12-31,2023-02-16,2023-02-16,RDQ_MATCHED
001225,2023-12-31,2024-02-15,2024-02-15,RDQ_MATCHED
001225,2024-12-31,2025-02-20,2025-02-20,RDQ_MATCHED
001228,2010-06-30,2010-10-07,2010-10-07,RDQ_MATCHED
001228,2013-06-30,2013-09-25,2013-09-25,RDQ_MATCHED
001228,2014-06-30,2014-09-29,2014-09-29,RDQ_MATCHED
001228,2015-06-30,2015-09-28,2015-09-28,RDQ_MATCHED
001228,2016-06-30,2016-09-30,2016-09-30,RDQ_MATCHED
001230,2010-12-31,2011-01-25,2011-01-25,RDQ_MATCHED
001230,2011-12-31,2012-01-26,2012-01-26,RDQ_MATCHED
001230,2012-12-31,2013-01-24,2013-01-24,RDQ_MATCHED
001230,2013-12-31,2014-01-23,2014-01-23,RDQ_MATCHED
001230,2014-12-31,2015-01-22,2015-01-22,RDQ_MATCHED
001230,2015-12-31,2016-01-21,2016-01-21,RDQ_MATCHED
001230,2016-12-31,2017-02-08,2017-02-08,RDQ_MATCHED
001230,2017-12-31,2018-01-25,2018-01-25,RDQ_MATCHED
001230,2018-12-31,2019-01-24,2019-01-24,RDQ_MATCHED
001230,2019-12-31,2020-01-28,2020-01-28,RDQ_MATCHED
001230,2020-12-31,2021-01-26,2021-01-26,RDQ_MATCHED
001230,2021-12-31,2022-01-27,2022-01-27,RDQ_MATCHED
001230,2022-12-31,2023-01-26,2023-01-26,RDQ_MATCHED
001230,2023-12-31,2024-01-25,2024-01-25,RDQ_MATCHED
001230,2024-12-31,2025-01-22,2025-01-22,RDQ_MATCHED
001234,2010-12-31,2011-02-18,2011-02-18,RDQ_MATCHED
001234,2011-12-31,2012-02-21,2012-02-21,RDQ_MATCHED
001234,2012-12-31,2013-02-19,2013-02-19,RDQ_MATCHED
001234,2013-12-31,2014-02-24,2014-02-24,RDQ_MATCHED
001234,2014-12-31,2015-02-23,2015-02-23,RDQ_MATCHED
001234,2015-12-31,2016-02-22,2016-02-22,RDQ_MATCHED
001234,2016-12-31,2017-02-23,2017-02-23,RDQ_MATCHED
001234,2017-12-31,2018-02-27,2018-02-27,RDQ_MATCHED
001234,2018-12-31,2019-02-26,2019-02-26,RDQ_MATCHED
001234,2019-12-31,2020-02-26,2020-02-26,RDQ_MATCHED
001234,2020-12-31,2021-02-26,2021-02-26,RDQ_MATCHED
001234,2021-12-31,2022-02-25,2022-02-25,RDQ_MATCHED
001234,2022-12-31,2023-02-27,2023-02-27,RDQ_MATCHED
001234,2023-12-31,2024-02-29,2024-02-29,RDQ_MATCHED
001239,2010-09-30,2010-11-01,2010-11-01,RDQ_MATCHED
001254,2011-12-31,2012-02-13,2012-02-13,RDQ_MATCHED
001254,2012-12-31,2013-02-07,2013-02-07,RDQ_MATCHED
001254,2013-12-31,2014-02-25,2014-02-25,RDQ_MATCHED
001254,2014-12-31,2015-02-24,2015-02-24,RDQ_MATCHED
001254,2015-12-31,2016-02-23,2016-02-23,RDQ_MATCHED
001254,2016-12-31,2017-02-21,2017-02-21,RDQ_MATCHED
001254,2017-12-31,2018-02-20,2018-02-20,RDQ_MATCHED
001254,2018-12-31,2019-02-21,2019-02-21,RDQ_MATCHED
001254,2019-12-31,2020-02-25,2020-02-25,RDQ_MATCHED
001254,2020-12-31,2021-02-23,2021-02-23,RDQ_MATCHED
001254,2021-12-31,2022-02-17,2022-02-17,RDQ_MATCHED
001254,2022-12-31,2023-02-21,2023-02-21,RDQ_MATCHED
001254,2023-12-31,2024-02-20,2024-02-20,RDQ_MATCHED
001254,2024-12-31,2025-02-25,2025-02-25,RDQ_MATCHED
001257,2010-12-31,2011-02-22,2011-02-22,RDQ_MATCHED
001257,2011-12-31,2012-02-27,2012-02-27,RDQ_MATCHED
001257,2012-12-31,2013-02-26,2013-02-26,RDQ_MATCHED
001257,2013-12-31,2014-02-24,2014-02-24,RDQ_MATCHED
001257,2014-12-31,2015-02-17,2015-02-17,RDQ_MATCHED
001257,2015-12-31,2016-02-16,2016-02-16,RDQ_MATCHED
001257,2016-12-31,2017-02-13,2017-02-13,RDQ_MATCHED
001257,2017-12-31,2018-02-12,2018-02-12,RDQ_MATCHED
001257,2018-12-31,2019-02-11,2019-02-11,RDQ_MATCHED
001257,2019-12-31,2020-02-18,2020-02-18,RDQ_MATCHED
001257,2020-12-31,2021-02-16,2021-02-16,RDQ_MATCHED
001257,2021-12-31,2022-02-14,2022-02-14,RDQ_MATCHED
001257,2022-12-31,2023-02-13,2023-02-13,RDQ_MATCHED
001257,2023-12-31,2024-02-12,2024-02-12,RDQ_MATCHED
001257,2024-12-31,2025-02-10,2025-02-10,RDQ_MATCHED
001263,2010-03-31,,2010-06-14,FALLBACK
001263,2011-03-31,,2011-06-14,FALLBACK
001263,2012-03-31,2012-06-11,2012-06-11,RDQ_MATCHED
001263,2013-03-31,2013-06-26,2013-06-26,RDQ_MATCHED
001263,2014-03-31,2014-09-23,2014-09-23,RDQ_MATCHED
001266,2010-09-30,2010-12-14,2010-12-14,RDQ_MATCHED
001266,2011-09-30,2011-12-14,2011-12-14,RDQ_MATCHED
001266,2012-09-30,2012-12-05,2012-12-05,RDQ_MATCHED
001266,2013-09-30,2013-12-09,2013-12-09,RDQ_MATCHED
001266,2014-09-30,2014-12-02,2014-12-02,RDQ_MATCHED
001266,2015-09-30,2015-12-10,2015-12-10,RDQ_MATCHED
001266,2016-09-30,2016-12-02,2016-12-02,RDQ_MATCHED
001266,2017-09-30,2017-12-11,2017-12-11,RDQ_MATCHED
001266,2018-09-30,2018-12-06,2018-12-06,RDQ_MATCHED
001266,2019-09-30,2019-12-05,2019-12-05,RDQ_MATCHED
001266,2020-09-30,2020-12-08,2020-12-08,RDQ_MATCHED
001266,2021-09-30,2021-12-07,2021-12-07,RDQ_MATCHED
001266,2022-09-30,2022-12-13,2022-12-13,RDQ_MATCHED
001266,2023-09-30,2023-12-06,2023-12-06,RDQ_MATCHED
001266,2024-09-30,2024-12-02,2024-12-02,RDQ_MATCHED
001266,2025-09-30,2025-11-24,2025-11-24,RDQ_MATCHED
001274,2012-12-31,2013-02-21,2013-02-21,RDQ_MATCHED
001274,2013-12-31,2014-02-25,2014-02-25,RDQ_MATCHED
001274,2014-12-31,2015-02-24,2015-02-24,RDQ_MATCHED
001274,2015-12-31,2016-02-23,2016-02-23,RDQ_MATCHED
001274,2016-12-31,2017-02-22,2017-02-22,RDQ_MATCHED
001274,2017-12-31,2018-02-21,2018-02-21,RDQ_MATCHED
001274,2018-12-31,2019-02-20,2019-02-20,RDQ_MATCHED
001274,2019-12-31,2020-02-19,2020-02-19,RDQ_MATCHED
001274,2020-12-31,2021-02-23,2021-02-23,RDQ_MATCHED
001274,2021-12-31,2022-02-23,2022-02-23,RDQ_MATCHED
001300,2010-12-31,2011-01-28,2011-01-28,RDQ_MATCHED
001300,2011-12-31,2012-01-27,2012-01-27,RDQ_MATCHED
001300,2012-12-31,2013-01-25,2013-01-25,RDQ_MATCHED
001300,2013-12-31,2014-01-24,2014-01-24,RDQ_MATCHED
001300,2014-12-31,2015-01-23,2015-01-23,RDQ_MATCHED
001300,2015-12-31,2016-01-29,2016-01-29,RDQ_MATCHED
001300,2016-12-31,2017-01-27,2017-01-27,RDQ_MATCHED
001300,2017-12-31,2018-01-26,2018-01-26,RDQ_MATCHED
001300,2018-12-31,2019-02-01,2019-02-01,RDQ_MATCHED
001300,2020-12-31,2021-01-29,2021-01-29,RDQ_MATCHED
001300,2021-12-31,2022-02-03,2022-02-03,RDQ_MATCHED
001300,2022-12-31,2023-02-02,2023-02-02,RDQ_MATCHED
001300,2023-12-31,2024-02-01,2024-02-01,RDQ_MATCHED
001300,2024-12-31,2025-02-06,2025-02-06,RDQ_MATCHED
001300,2019-12-31,2020-01-31,2020-01-31,RDQ_MATCHED
001308,2010-12-31,2011-03-15,2011-03-15,RDQ_MATCHED
001327,2010-09-30,2010-11-04,2010-11-04,RDQ_MATCHED
001327,2011-09-30,2011-11-03,2011-11-03,RDQ_MATCHED
001327,2012-09-30,2012-11-01,2012-11-01,RDQ_MATCHED
001327,2013-09-30,2013-10-30,2013-10-30,RDQ_MATCHED
001327,2014-09-30,2014-11-06,2014-11-06,RDQ_MATCHED
001327,2015-09-30,2015-11-05,2015-11-05,RDQ_MATCHED
001327,2016-09-30,2016-11-03,2016-11-03,RDQ_MATCHED
001327,2017-09-30,2017-11-06,2017-11-06,RDQ_MATCHED
001327,2018-09-30,2018-11-08,2018-11-08,RDQ_MATCHED
001327,2019-09-30,2019-11-12,2019-11-12,RDQ_MATCHED
001327,2020-09-30,2020-11-02,2020-11-02,RDQ_MATCHED
001327,2021-09-30,2021-11-04,2021-11-04,RDQ_MATCHED
001327,2022-09-30,2022-11-03,2022-11-03,RDQ_MATCHED
001327,2023-09-30,2023-11-02,2023-11-02,RDQ_MATCHED
001327,2024-09-30,2024-11-12,2024-11-12,RDQ_MATCHED
001327,2025-09-30,2025-10-28,2025-10-28,RDQ_MATCHED
001331,2010-12-31,2011-04-13,2011-04-13,RDQ_MATCHED
001331,2011-12-31,2012-04-05,2012-04-05,RDQ_MATCHED
001356,2010-12-31,2011-01-10,2011-01-10,RDQ_MATCHED
001356,2011-12-31,2012-01-09,2012-01-09,RDQ_MATCHED
001356,2012-12-31,2013-01-08,2013-01-08,RDQ_MATCHED
001356,2013-12-31,2014-01-09,2014-01-09,RDQ_MATCHED
001356,2014-12-31,2015-01-12,2015-01-12,RDQ_MATCHED
001356,2015-12-31,2016-01-11,2016-01-11,RDQ_MATCHED
001380,2010-12-31,2011-01-26,2011-01-26,RDQ_MATCHED
001380,2011-12-31,2012-01-25,2012-01-25,RDQ_MATCHED
001380,2013-12-31,2014-01-29,2014-01-29,RDQ_MATCHED
001380,2014-12-31,2015-01-28,2015-01-28,RDQ_MATCHED
001380,2015-12-31,2016-01-27,2016-01-27,RDQ_MATCHED
001380,2016-12-31,2017-01-25,2017-01-25,RDQ_MATCHED
001380,2017-12-31,2018-02-05,2018-02-05,RDQ_MATCHED
001380,2018-12-31,2019-01-30,2019-01-30,RDQ_MATCHED
001380,2012-12-31,2013-01-30,2013-01-30,RDQ_MATCHED
001380,2020-12-31,2021-01-27,2021-01-27,RDQ_MATCHED
