gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
018699,PTC INC,PTC,2025-09-30,2025,45,4510,451030,45103010,513210,7372,51,513,73,7372
018745,ESSENT GROUP LTD,ESNT,2025-12-31,2025,40,4020,402010,40201050,524126,6351,52,524,63,6351
018748,VOXELJET AG,VJTTY,2023-12-31,2023,20,2010,201060,20106020,333248,3555,33,333,35,3555
018749,AERIE PHARMACEUTICALS INC,AERI,2021-12-31,2021,35,3520,352020,35202010,325412,2834,32,325,28,2834
018841,SURGICAL CARE AFFILIATES INC,SCAI,2016-12-31,2016,35,3510,351020,35102020,621498,8090,62,621,80,8090
018850,EMPIRE STATE REALTY OP LP,ESBA,2025-12-31,2025,60,6010,601010,60101010,531120,6798,53,531,67,6798
018868,OCI PARTNERS LP,OCIP,2017-12-31,2017,15,1510,151010,15101010,325199,2860,32,325,28,2860
018872,TWITTER INC,TWTR,2021-12-31,2021,50,5020,502030,50203010,519130,7370,51,519,73,7370
018878,CRESCENT BIOPHARMA INC,CBIO,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
018879,MAVENIR SYSTEMS INC,MVNR.1,2014-12-31,2014,45,4510,451030,45103020,334118,3576,33,334,35,3576
018888,AMNEAL PHARMACEUTICALS INC,AMRX,2025-12-31,2025,35,3520,352020,35202010,325412,2834,32,325,28,2834
018892,NFT LTD,MI,2024-12-31,2024,50,5020,502030,50203010,519290,7370,51,519,73,7370
018899,TANDEM DIABETES CARE INC,TNDM,2025-12-31,2025,35,3510,351010,35101010,334510,3845,33,334,38,3845
018926,DYNAGAS LNG PARTNERS LP,DLNG,2025-12-31,2025,10,1010,101020,10102040,483111,4412,48,483,44,4412
018938,XENCOR INC,XNCR,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
018947,VERACYTE INC,VCYT,2025-12-31,2025,35,3520,352010,35201010,325413,2835,32,325,28,2835
018952,BROOKFLD DTLA OFFICE TR INV,DTLAP,2022-12-31,2022,60,6010,601040,60104010,531120,6798,53,531,67,6798
018975,NIMBLE STORAGE INC,NMBL.1,2017-01-31,2016,45,4520,452020,45202030,334112,3572,33,334,35,3572
018983,OXFORD IMMUNOTEC GLOBAL PLC,OXFD,2019-12-31,2019,35,3510,351010,35101010,325413,2835,32,325,28,2835
019025,SOCIETAL CDMO INC,SCTL,2023-12-31,2023,35,3520,352020,35202010,325412,2834,32,325,28,2834
019071,CAMPING WORLD HOLDINGS INC,CWH,2025-12-31,2025,25,2550,255040,25504050,441210,5500,44,441,55,5500
019104,MIDCOAST ENERGY PARTNERS LP,MEP,2016-12-31,2016,10,1010,101020,10102010,486210,4922,48,486,49,4922
019129,HALLADOR ENERGY CO,HNRG,2025-12-31,2025,55,5510,551050,55105010,022111,4911,02,022,49,4911
019143,KINDRED BIOSCIENCES INC,KIN,2020-12-31,2020,35,3520,352010,35201010,325414,2836,32,325,28,2836
019149,ULTRAGENYX PHARMACEUTICAL,RARE,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
019151,TELECOM ITALIA SPA,TIIAY,2020-12-31,2020,50,5010,501010,50101020,517311,4813,51,517,48,4813
019171,RSP PERMIAN INC,RSPP,2017-12-31,2017,10,1010,101020,10102020,211111,1311,21,211,13,1311
019172,GOLD.COM INC,GOLD,2025-06-30,2025,25,2550,255010,25501010,423510,5051,42,423,50,5051
019175,VINCE HOLDING CORP,VNCE,2025-01-31,2024,25,2520,252030,25203010,000315,2300,00,000,23,2300
019184,CYPRESS ENVIRONMNTL PRTNS LP,CELPQ,2021-12-31,2021,10,1010,101010,10101020,213112,1389,21,213,13,1389
019209,NORTHERN TECH INTL,NTIC,2025-08-31,2025,15,1510,151010,15101050,325998,2890,32,325,28,2890
019349,SIEMENS AG,SIEGY,2025-09-30,2025,20,2010,201050,20105010,999977,9997,99,999,99,9997
019377,RICE ENERGY INC,RICE.,2016-12-31,2016,10,1010,101020,10102020,211111,1311,21,211,13,1311
019391,MALIBU BOATS INC,MBUU,2025-06-30,2025,25,2520,252020,25202010,336612,3730,33,336,37,3730
019394,BRIGHT MOUNTAIN MEDIA INC,BMTM,2025-12-31,2025,50,5020,502010,50201010,005418,7310,00,005,73,7310
019402,G-III APPAREL GROUP LTD,GIII,2025-01-31,2024,25,2520,252030,25203010,315250,2300,31,315,23,2300
019412,INTRA-CELLULAR THERAPIES INC,ITCI,2024-12-31,2024,35,3520,352020,35202010,325414,2836,32,325,28,2836
019433,PHX MINERALS INC,PHX,2024-12-31,2024,10,1010,101020,10102020,002111,1311,00,002,13,1311
019458,CARISMA THERAPEUTICS INC,CARM,2024-12-31,2024,35,3520,352010,35201010,325414,2836,32,325,28,2836
019470,DICERNA PHARMACEUTICALS INC,DRNA,2020-12-31,2020,35,3520,352010,35201010,325414,2836,32,325,28,2836
019471,REVANCE THERAPEUTICS INC,RVNC,2023-12-31,2023,35,3520,352020,35202010,325414,2836,32,325,28,2836
019507,OUTFRONT MEDIA INC,OUT,2025-12-31,2025,60,6010,601080,60108010,531190,6798,53,531,67,6798
019511,FLEXION THERAPEUTICS INC,FLXN.1,2020-12-31,2020,35,3520,352010,35201010,325412,2834,32,325,28,2834
019516,INSTALLED BLDG PRODUCTS INC,IBP,2025-12-31,2025,25,2520,252010,25201030,238310,1700,23,238,17,1700
019518,KNOWLES CORP,KN,2025-12-31,2025,45,4520,452030,45203015,334419,3670,33,334,36,3670
019526,FARMLAND PARTNERS INC,FPI,2025-12-31,2025,60,6010,601080,60108010,531190,6798,53,531,67,6798
019534,CONCERT PHARMACEUTICLS INC,CNCE,2021-12-31,2021,35,3520,352010,35201010,325414,2836,32,325,28,2836
019581,LANDS' END INC,LE,2025-01-31,2024,25,2550,255040,25504010,458110,5961,45,458,59,5961
019582,CARETRUST REIT INC,CTRE,2025-12-31,2025,60,6010,601050,60105010,531120,6798,53,531,67,6798
019600,CYMABAY THERAPEUTICS INC,CBAY,2023-12-31,2023,35,3520,352020,35202010,325414,2836,32,325,28,2836
019602,TURTLE BEACH CORP,TBCH,2025-12-31,2025,45,4520,452020,45202030,334118,3577,33,334,35,3577
019649,SABRE CORP,SABR,2025-12-31,2025,25,2530,253010,25301020,518210,7370,51,518,73,7370
019661,TOYOTA MOTOR CORP,TM,2025-03-31,2024,25,2510,251020,25102010,336110,3711,33,336,37,3711
019744,JD.COM INC,JD,2025-12-31,2025,25,2550,255030,25503030,449210,5961,44,449,59,5961
019784,EAGLE PHARMACEUTICALS INC,EGRX,2022-12-31,2022,35,3520,352010,35201010,325412,2834,32,325,28,2834
019800,COREPOINT LODGING INC,CPLG,2020-12-31,2020,60,6010,601010,60101030,531120,6798,53,531,67,6798
019807,U S HOME SYSTEMS INC,USHS,2011-12-31,2011,20,2010,201020,20102010,337110,2430,33,337,24,2430
019845,LUMENIS LTD,LMNS,2014-12-31,2014,35,3510,351010,35101010,334510,3845,33,334,38,3845
019849,A10 NETWORKS INC,ATEN,2025-12-31,2025,45,4510,451030,45103020,513210,7372,51,513,73,7372
019851,CITY OFFICE REIT INC,CIO,2024-12-31,2024,60,6010,601040,60104010,531120,6798,53,531,67,6798
019855,INVENTRUST PROPERTIES CORP,IVT,2025-12-31,2025,60,6010,601070,60107010,531120,6798,53,531,67,6798
019858,VERITIV CORP,VRTV,2022-12-31,2022,20,2010,201070,20107010,424110,5110,42,424,51,5110
019859,AKEBIA THERAPEUTICS INC,AKBA,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
019877,Q2 HOLDINGS INC,QTWO,2025-12-31,2025,45,4510,451030,45103010,518210,7370,51,518,73,7370
019908,FIVE9 INC,FIVN,2025-12-31,2025,45,4510,451030,45103010,518210,7370,51,518,73,7370
019910,OPOWER INC,OPWR,2015-12-31,2015,45,4510,451010,45101010,519130,7370,51,519,73,7370
019911,WILLIAMS CONTROLS INC,WMCO,2012-09-30,2012,25,2510,251010,25101010,336320,3714,33,336,37,3714
019912,CORIUM INTERNATIONAL INC,CORI,2017-09-30,2017,35,3520,352020,35202010,325412,2834,32,325,28,2834
019965,POPE RESOURCES/DE  -LP,POPE,2019-12-31,2019,15,1510,151050,15105010,113110,0800,11,113,08,0800
019966,CREATIVE MEDIA & COM TR CORP,CMCT,2025-12-31,2025,60,6010,601040,60104010,531120,6798,53,531,67,6798
019967,APPLIED GENETIC TECHNOLOGIES,AGTC,2022-06-30,2022,35,3520,352010,35201010,325414,2836,32,325,28,2836
019988,MEDIWOUND LTD,MDWD,2025-12-31,2025,35,3520,352020,35202010,325414,2836,32,325,28,2836
019998,MEDPACE HOLDINGS INC,MEDP,2025-12-31,2025,35,3520,352030,35203010,054171,8731,05,054,87,8731
020010,AGILE THERAPEUTICS INC,AGRX,2023-12-31,2023,35,3520,352020,35202010,325412,2834,32,325,28,2834
020011,METALLUS INC,MTUS,2025-12-31,2025,15,1510,151040,15104050,331110,3312,33,331,33,3312
020020,CIVEO CORP,CVEO,2025-12-31,2025,20,2020,202010,20201070,000721,7011,00,000,70,7011
020033,ALDER BIOPHARMACEUTICALS INC,ALDR,2018-12-31,2018,35,3520,352010,35201010,325414,2836,32,325,28,2836
020040,SCYNEXIS INC,SCYX,2025-12-31,2025,35,3520,352020,35202010,325414,2836,32,325,28,2836
020059,FIRST REAL ESTATE TR NJ INC,FREVS,2025-10-31,2025,60,6010,601010,60101010,005311,6798,00,005,67,6798
020067,INTERCONTINENTAL HOTELS GRP,IHG,2025-12-31,2025,25,2530,253010,25301020,721110,7011,72,721,70,7011
020088,BOX INC,BOX,2025-01-31,2024,45,4510,451030,45103010,518210,7370,51,518,73,7370
020090,TUBEMOGUL INC,TUBE,2015-12-31,2015,45,4510,451030,45103020,511210,7372,51,511,73,7372
020115,PHIBRO ANIMAL HEALTH CORP,PAHC,2025-06-30,2025,35,3520,352020,35202010,325411,2833,32,325,28,2833
020126,ADVANCED DRAINAGE SYSTEMS,WMS,2025-03-31,2024,20,2010,201020,20102010,326122,3080,32,326,30,3080
020128,CHEETAH MOBILE INC  -ADR,CMCM,2024-12-31,2024,45,4510,451030,45103010,513210,7372,51,513,73,7372
020129,MATERIALISE NV,MTLS,2025-12-31,2025,45,4510,451030,45103010,513210,7372,51,513,73,7372
020136,AMERICAN REALTY CAP HLTHCR,HCT,2013-12-31,2013,40,4040,404020,40402045,531120,6798,53,531,67,6798
020147,SUPERIOR DRILLING PRODUCTS,SDPI,2023-12-31,2023,10,1010,101010,10101020,333132,3533,33,333,35,3533
020168,MEMORIAL RESOURCE DEV CORP,MRD,2015-12-31,2015,10,1010,101020,10102020,211111,1311,21,211,13,1311
020179,GASLOG PARTNERS LP,GLOP,2022-12-31,2022,10,1010,101020,10102040,483111,4412,48,483,44,4412
020185,SCOTTS MIRACLE-GRO CO,SMG,2025-09-30,2025,15,1510,151010,15101030,003253,2870,00,003,28,2870
020196,LUXOTTICA GROUP SPA,LUXTY,2017-12-31,2017,25,2520,252030,25203010,339115,3851,33,339,38,3851
020202,TRANSCEND SERVICES INC,TRCR,2011-12-31,2011,35,3510,351030,35103010,621999,8090,62,621,80,8090
020204,ICONIX BRAND GROUP INC,ICON.1,2020-12-31,2020,25,2520,252030,25203010,533110,6794,53,533,67,6794
020217,POSTROCK ENERGY CORP,PSTRQ,2014-12-31,2014,10,1010,101020,10102020,211111,1311,21,211,13,1311
020228,CATALENT INC,CTLT,2024-06-30,2024,35,3520,352020,35202010,325412,2834,32,325,28,2834
020232,KEYSIGHT TECHNOLOGIES INC,KEYS,2025-10-31,2025,45,4520,452030,45203010,334515,3825,33,334,38,3825
020233,THERAVANCE BIOPHARMA INC,TBPH,2025-12-31,2025,35,3520,352020,35202010,325412,2834,32,325,28,2834
020245,CASCADIAN THERAPEUTICS INC,CASC,2017-12-31,2017,35,3520,352010,35201010,325414,2836,32,325,28,2836
020259,CHC GROUP LTD,HELIQ,2016-04-30,2015,10,1010,101010,10101020,481211,4522,48,481,45,4522
020280,NEW YORK REIT INC,NYRT,2018-12-31,2018,60,6010,601010,60101040,531120,6798,53,531,67,6798
020298,PARSLEY ENERGY INC,PE,2019-12-31,2019,10,1010,101020,10102020,211120,1311,21,211,13,1311
020344,WASHINGTON PRIME GROUP INC,WPGGQ,2020-12-31,2020,60,6010,601010,60101070,531120,6798,53,531,67,6798
020412,ARES MANAGEMENT CORP,ARES,2025-12-31,2025,40,4020,402030,40203010,523940,6282,52,523,62,6282
020420,ORION SA,OEC,2025-12-31,2025,15,1510,151010,15101010,325180,2890,32,325,28,2890
020423,CAESARS ENTERTAINMENT CORP,CZR.3,2019-12-31,2019,25,2530,253010,25301010,721120,7990,72,721,79,7990
020477,METROPOLITAN LIFE INSURANCE,MET1,2025-12-31,2025,40,4030,403010,40301020,524113,6311,52,524,63,6311
020496,ATENTO SA,ATTOF,2022-12-31,2022,20,2020,202020,20202030,518210,7374,51,518,73,7374
020502,RAYONIER ADVANCED MATERIALS,RYAM,2025-12-31,2025,15,1510,151010,15101050,003252,2820,00,003,28,2820
020513,MONTAGE RESOURCES CORP,MR,2019-12-31,2019,10,1010,101020,10102020,211130,1311,21,211,13,1311
020534,VIPER ENERGY INC,VNOM,2025-12-31,2025,10,1010,101020,10102020,533110,6792,53,533,67,6792
020537,JP ENERGY PARTNERS LP,JPEP,2016-12-31,2016,10,1010,101020,10102040,486110,4610,48,486,46,4610
020548,COTERRA ENERGY INC,CTRA,2025-12-31,2025,10,1010,101020,10102020,002111,1311,00,002,13,1311
020554,ENVUE MEDICAL INC,FEED,2025-12-31,2025,35,3510,351010,35101010,334510,3845,33,334,38,3845
020567,MARINUS PHARMACEUTICALS INC,MRNS,2023-12-31,2023,35,3520,352020,35202010,325414,2836,32,325,28,2836
020643,KITE PHARMA INC,KITE,2016-12-31,2016,35,3520,352010,35201010,325414,2836,32,325,28,2836
020644,GOPRO INC,GPRO,2025-12-31,2025,25,2520,252010,25201010,333310,3861,33,333,38,3861
020645,ARDELYX INC,ARDX,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
020653,DENBURY INC,DEN,2022-12-31,2022,10,1010,101020,10102020,002111,1311,00,002,13,1311
020659,AMPHASTAR PHARMACEUTICLS INC,AMPH,2025-12-31,2025,35,3520,352020,35202010,325412,2834,32,325,28,2834
020672,ADEPTUS HEALTH INC,ADPTQ,2015-12-31,2015,35,3510,351020,35102015,621493,8011,62,621,80,8011
020692,KIMBALL ELECTRONICS INC,KE,2025-06-30,2025,45,4520,452030,45203020,334413,3674,33,334,36,3674
020699,LIBERTY TRIPADVISOR HOLDINGS,LTRPA,2024-12-31,2024,50,5020,502030,50203010,519290,7370,51,519,73,7370
020747,TESCO CORP,TESO,2016-12-31,2016,10,1010,101010,10101020,333132,3533,33,333,35,3533
020748,ARISTA NETWORKS INC,ANET,2025-12-31,2025,45,4520,452010,45201020,334118,3576,33,334,35,3576
020756,MATINAS BIOPHARMA HLDGS INC,MTNB,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
020779,CISCO SYSTEMS INC,CSCO,2025-07-31,2025,45,4520,452010,45201020,334118,3576,33,334,35,3576
020798,PFENEX INC,PFNX,2019-12-31,2019,35,3520,352010,35201010,325414,2836,32,325,28,2836
020904,HOLOGIC INC,HOLX,2025-09-30,2025,35,3510,351010,35101010,334517,3844,33,334,38,3844
020943,SAGE THERAPEUTICS INC,SAGE,2024-12-31,2024,35,3520,352010,35201010,325414,2836,32,325,28,2836
020949,MOBILEYE NV,MBBYF,2016-12-31,2016,45,4510,451030,45103010,511210,7372,51,511,73,7372
020959,PLYMOUTH INDL REIT INC,PLYM,2024-12-31,2024,60,6010,601025,60102510,531120,6798,53,531,67,6798
020961,ANTERIX INC,ATEX,2025-03-31,2024,50,5010,501010,50101010,517810,4899,51,517,48,4899
021002,CYBERARK SOFTWARE LTD,CYBR,2025-12-31,2025,45,4510,451030,45103020,513210,7372,51,513,73,7372
